product_id,full_price,discounted,current_price,product_url,description,ratings,reviews
DH5088-401,55,False,55.0,https://www.nike.com/t/vapor-edge-shark-2-mens-football-cleats-dmdfQS/DH5088-401,"The Nike Vapor Edge Shark 2 helps you smoke your competition with speed, power and finesse while feeling fully stabilized and secure. Rubber traction and a synthetic material add support while Nike Fastflex technology lets you move with ease while running and shifting gears.Shown: Midnight Navy/White/BlackStyle: DH5088-401",4.3 Stars,3
CZ5918-103,45,False,45.0,https://www.nike.com/t/hyperdiamond-4-keystone-womens-softball-cleats-6gFh7z/CZ5918-103,"The Nike Hyperdiamond 4 Keystone is all about lightweight comfort on the diamond. Molded details on the upper add durability, while a flexible rubber sole with studs helps give you traction throughout the game or practice.Shown: White/Photon Dust/Volt/BlackStyle: CZ5918-103",4.7 Stars,183
DV5457-005,57,False,57.0,https://www.nike.com/t/court-borough-low-recraft-little-kids-shoes-tXD6p2/DV5457-005,"Start little ones off on the right foot with new Court Borough. Made for the long haul, this ""recrafted"" legend uses a combination of durable materials on the upper and outsole to achieve a classic look made in a whole new way. A redesigned toe box and midfoot give feet a little extra room so littles can run, jump and play just a bit longer and harder in comfort.Shown: Light Iron Ore/White/Photo Blue/Vapor GreenStyle: DV5457-005",4.9 Stars,234
FN0324-001,80,False,80.0,https://www.nike.com/t/precision-7-easyon-mens-basketball-shoes-6jgrl7/FN0324-001,"Step onto the floor with full confidence, and take your best shot in the Nike Precision 7—a game-ready basketball shoe for everyone. Made with Nike EasyOn technology, it has a collapsible heel and large midfoot strap to help you tighten the laces and secure the fit using one hand. Fasten the strap in a matter of seconds, check in and make the plays that swing the outcome in your favor.Shown: Black/University Red/WhiteStyle: FN0324-001",0 Stars,0
DV4337-300,85,True,72.97,https://www.nike.com/t/tiempo-legend-10-academy-multi-ground-low-top-soccer-cleats-PVVHhx/DV4337-300,"Even Legends find ways to evolve. Made to take your game to the next level, the latest iteration of these Academy cleats has all-new FlyTouch Lite engineered leather. Softer than natural leather, it conforms to your foot and doesn't overstretch, so you can dictate the pace of your game. Lighter and sleeker than any other Tiempo to date, the Legend 10 is for any position on the field, whether you're sending a pinpoint pass through the defense or tracking back to stop a breakaway.Shown: Hyper Turquoise/Fuchsia Dream/BlackStyle: DV4337-300",4.4 Stars,25
FV3526-010,170,False,170.0,https://www.nike.com/t/cosmic-unity-3-womens-basketball-shoes-7lZ9Zp/FV3526-010,"Better for your game, designed with sustainability in mind—two things you care about—the Cosmic Unity 3 has a secure, lightweight design for a low-to-the-ground feel. It gives you cloud-like cushioning for explosive speed and quick changes in direction, the difference-makers in a game that’s becoming more extraterrestrial. We used insights from female athletes to create a shoe that helps you play quickly and with confidence—which every basketball player needs.Shown: Football Grey/Ashen Slate/Light Carbon/WhiteStyle: FV3526-010",5 Stars,1
FD2148-003,120,False,120.0,https://www.nike.com/t/flyknit-haven-womens-shoes-x7fQ3k/FD2148-003,"Say hello to Haven—a cozy shoe all about relaxing and recharging. This new silhouette features an adjustable and collapsible collar, so you can easily slip on and go. From chilling at home to brunching with friends, its pillowy Flyknit material serves both versatile style and premium comfort. Who said you have to sacrifice being stylish for being cozy? Not us.Shown: Platinum Violet/Taupe Grey/Flat Pewter/EarthStyle: FD2148-003",4.2 Stars,24
DJ5958-700,47,True,34.97,https://www.nike.com/t/jr-mercurial-vapor-15-club-little-big-kids-multi-ground-low-top-soccer-cleats-NtmsBn/DJ5958-700,"Learn all the skills and drills, and use them in your next game with the Nike Jr. Mercurial Vapor 15 Club cleats. Made for all different surfaces from artificial to real grass fields, they have the traction you need to move and run up the field. The durable design is meant to hold up through every practice and every minute on game day.Shown: Lemonade/BlackStyle: DJ5958-700",4.7 Stars,42
DV4340-300,85,True,70.97,https://www.nike.com/t/tiempo-legend-10-academylow-top-soccer-cleats-P6NXdH/DV4340-300,"Even Legends find ways to evolve. Made to take your game to the next level, the latest iteration of these Academy cleats has all-new FlyTouch Lite engineered leather. Softer than natural leather, it conforms to your foot and doesn't overstretch, so you can dictate the pace of your game. Lighter and sleeker than any other Tiempo to date, the Legend 10 is for any position on the field, whether you're sending a pinpoint pass through the defense or tracking back to stop a breakaway.Shown: Hyper Turquoise/Fuchsia Dream/BlackStyle: DV4340-300",0 Stars,0
FD2599-400,85,True,56.97,https://www.nike.com/t/roshe-g-next-nature-mens-golf-shoes-CdMxPX/FD2599-400,"When the sun’s beating down your back and your drive just landed in the bunker, lean into the Roshe 2, a design that can help you find your peace when your round isn't going your way. It’s inherently simple and stylish, breathable and comfortable, perfect for playing in those sizzling-hot months. A full mesh upper and a soft, lightweight foam midsole form a cushioned combination to help maintain your internal calm, even if your game goes in the gutter.Shown: Ocean Bliss/Mineral Teal/Citron Tint/WhiteStyle: FD2599-400",5 Stars,2
